NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,1,0.8001,5.3125,0.5
1,3,0.7561,42.5,1
-1,1,0.83281,10.625,0
1,1,0.81892,5.3125,0
-1,3,0.7712,42.5,0
-1,1,0.52681,21.25,1
-1,1,0.75711,42.5,1
-1,1,0.9574,21.25,0
-1,3,0.69209,42.5,0
1,3,1.0705,42.5,1
1,1,0.84687,21.25,0
1,3,0.65535,42.5,1
1,3,0.86104,42.5,0.5
1,1,0.80382,5.3125,0
1,3,1.1511,10.625,1
-1,1,0.74988,10.625,0
-1,3,0.9515,21.25,0
1,1,0.86859,42.5,1
-1,1,0.86059,10.625,0.5
1,3,1.1,21.25,1
-1,3,1.0426,5.3125,0
-1,1,0.68939,10.625,1
-1,1,0.75408,5.3125,1
-1,1,1.1567,5.3125,0.5
1,3,0.82018,10.625,0
-1,1,0.70069,42.5,1
-1,1,1.0556,21.25,0
1,3,0.88417,42.5,0.5
-1,1,0.69528,21.25,1
1,1,0.90393,21.25,1
1,3,0.81043,10.625,1
1,1,0.87953,21.25,1
1,3,0.98593,5.3125,0
1,1,0.74219,42.5,0.5
-1,1,1.0958,5.3125,0.5
-1,1,0.8469,5.3125,1
-1,1,0.998,5.3125,1
-1,1,0.66859,42.5,1
-1,1,2.2687,5.3125,0.5
-1,1,0.74562,10.625,1
-1,3,1.1211,42.5,0
1,1,0.72776,21.25,0
-1,1,0.74063,5.3125,0
1,3,0.84955,10.625,1
-1,1,0.76268,21.25,0
-1,1,0.76268,5.3125,0
-1,1,0.63029,42.5,1
1,1,0.89517,21.25,0
-1,1,0.86235,10.625,0.5
1,3,0.62486,42.5,0
1,1,0.80854,5.3125,0.5
1,1,1.0137,5.3125,0.5
-1,3,0.7088,42.5,0
1,3,0.80253,42.5,0
1,1,0.90542,21.25,0.5
1,3,0.75862,21.25,1
-1,3,1.0805,42.5,0
1,3,0.83527,21.25,0
1,1,0.87151,42.5,0.5
-1,1,0.95174,10.625,0.5
-1,1,0.76098,21.25,0.5
1,3,0.76979,21.25,0.5
-1,1,0.74163,10.625,1
-1,1,0.80561,42.5,1
1,3,0.9053,5.3125,0.5
-1,1,0.80077,21.25,1
1,3,0.91799,21.25,0
1,1,0.77067,21.25,0.5
-1,1,0.85616,21.25,0.5
-1,1,0.5627,5.3125,1
-1,1,0.80212,21.25,1
-1,3,0.81457,5.3125,0
-1,1,1.019,21.25,0.5
-1,1,0.84263,10.625,1
1,3,0.74072,42.5,1
-1,1,1.3238,21.25,1
1,3,0.88344,10.625,1
-1,1,0.84655,42.5,0
1,3,1.8535,10.625,0.5
-1,1,0.88363,5.3125,0
1,3,1.1728,5.3125,0.5
-1,3,1.2085,10.625,0
-1,1,0.62477,21.25,0
-1,1,0.83917,42.5,0
1,3,1.0284,42.5,0.5
-14,3,1.7176,5.3125,0.5
14,1,0.76538,5.3125,0
-14,1,0.76912,10.625,0.5
14,3,0.7487,21.25,0
-14,1,0.76555,42.5,0.5
-14,1,0.8219,21.25,0.5
14,3,0.77955,10.625,0.5
14,1,1.2886,42.5,1
14,3,2.6981,42.5,0.5
14,1,0.82853,10.625,0
-14,1,0.67123,10.625,0.5
14,3,0.73024,5.3125,0
14,1,0.73236,5.3125,0.5
14,1,0.86554,21.25,0
-14,3,0.72305,5.3125,0
-14,1,0.80992,42.5,0.5
-14,1,0.77199,10.625,0.5
-14,3,0.74838,5.3125,0
14,1,0.84346,42.5,0
-14,1,0.68383,42.5,1
-14,1,0.76051,21.25,1
-14,3,0.79531,42.5,0.5
-14,1,0.68065,21.25,1
-14,1,0.61929,10.625,0.5
-14,1,0.7045,21.25,0.5
-14,3,0.83535,5.3125,0
-14,1,0.56223,10.625,0.5
-14,3,0.86032,5.3125,0.5
-14,3,0.86962,42.5,0
14,1,0.79665,10.625,0.5
-14,1,0.73076,10.625,0.5
-14,1,2.2676,10.625,0
-14,1,0.69823,5.3125,0
14,1,3.4382,10.625,1
-14,1,0.80276,21.25,0
14,1,0.89434,10.625,0.5
14,1,0.74098,10.625,0.5
14,3,0.73028,21.25,1
14,1,0.9005,10.625,1
14,1,0.70333,21.25,0
14,3,1.4502,5.3125,0
-14,1,0.77135,21.25,1
14,3,1.979,5.3125,1
14,3,1.5425,5.3125,0.5
14,1,0.84194,10.625,0
-14,1,0.75478,42.5,1
-14,1,0.79229,10.625,1
-14,1,0.79826,21.25,0.5
14,3,0.8602,42.5,0
14,1,0.75052,21.25,1
14,3,0.78127,42.5,1
-14,1,0.80896,5.3125,0.5
-14,1,0.81837,21.25,1
14,3,0.82761,21.25,1
-14,1,0.83114,42.5,0
14,1,0.92095,21.25,0
-14,3,0.91478,42.5,0
-14,1,0.53842,21.25,1
-14,3,1.1543,10.625,0
14,1,0.79849,42.5,1
14,3,1.2625,42.5,0.5
14,1,0.67467,21.25,0.5
14,3,0.81828,5.3125,0.5
14,3,1.1146,5.3125,1
14,1,0.9635,42.5,0.5
-14,1,0.99493,21.25,1
14,1,0.88021,10.625,0.5
-14,3,0.90661,10.625,0
-14,1,0.81526,21.25,0.5
-14,1,0.83354,42.5,0.5
14,3,1.014,5.3125,0.5
14,1,0.76383,21.25,0.5
14,3,0.89849,10.625,1
-14,1,0.89702,10.625,0.5
14,1,0.82133,10.625,0
14,1,0.83649,42.5,0
-14,1,0.90435,5.3125,0
-14,1,0.71386,10.625,1
14,3,1.595,5.3125,0.5
14,1,0.71864,21.25,1
-14,1,0.74273,42.5,0.5
-14,3,0.74586,42.5,0
-14,3,1.6471,42.5,0.5
14,1,0.6017,5.3125,0
-14,3,1.3311,21.25,0
-14,1,0.84936,10.625,0
14,3,1.1356,42.5,1
-14,1,0.68042,10.625,1
14,3,0.86876,42.5,0
-14,1,0.72533,5.3125,0.5
-14,1,0.62693,10.625,0.5
14,3,0.97542,10.625,1
-14,1,0.74828,5.3125,1
14,3,0.77055,5.3125,0
-14,1,0.81612,5.3125,0.5
-14,1,0.70885,10.625,0.5
14,3,0.69112,21.25,0.5
-14,3,0.9126,10.625,0
14,3,1.0557,21.25,1
14,1,0.7697,5.3125,0.5
-14,1,0.82127,21.25,0.5
-14,1,0.94501,10.625,0.5
14,3,1.0647,10.625,0.5
-14,3,0.84087,42.5,0
14,1,1.6459,21.25,0.5
-14,1,0.74824,10.625,0.5
14,3,0.72811,21.25,1
-14,3,1.1864,10.625,1
14,3,0.99919,21.25,1
-14,1,0.74768,5.3125,1
14,3,0.93068,5.3125,0
-14,3,1.5058,10.625,0
-14,1,1.1161,42.5,0.5
-14,1,1.0912,21.25,0
14,3,0.81127,5.3125,1
14,3,0.87185,21.25,1
14,1,0.70055,10.625,0
14,3,0.8678,42.5,1
14,3,0.797,42.5,1
14,1,0.77065,5.3125,0.5
14,1,0.82706,5.3125,0.5
14,3,1.21,21.25,1
-14,1,1.2027,5.3125,1
14,3,0.53531,42.5,1
14,1,1.0496,42.5,0.5
14,1,0.67636,5.3125,0
14,3,0.64103,10.625,1
14,1,1.3539,42.5,0
-14,3,0.75793,21.25,0
14,1,0.82039,42.5,0.5
-14,1,0.69282,5.3125,1
14,1,0.83215,21.25,0
14,3,0.84625,42.5,1
14,3,1.1112,5.3125,1
14,3,0.98634,5.3125,1
-14,3,0.78437,21.25,0
14,1,0.78903,21.25,0
-14,1,0.80143,10.625,0
14,3,1.0229,42.5,0
-14,1,0.6195,21.25,1
14,1,0.75339,10.625,0
14,1,0.73752,21.25,0.5
-14,1,0.74394,10.625,1
-14,1,0.81552,10.625,0.5
14,3,0.62998,10.625,1
14,1,0.69681,10.625,0.5
14,3,0.96952,21.25,1
14,3,0.78544,5.3125,1
-14,1,1.2289,5.3125,1
-14,3,0.65999,21.25,0
14,1,0.7256,5.3125,0
14,3,0.69209,42.5,0.5
14,1,0.91609,10.625,0
-14,1,0.85158,5.3125,0.5
-14,1,1.2382,10.625,1
-14,3,0.75523,21.25,0.5
14,3,1.023,5.3125,1
-14,3,0.93571,21.25,0
-14,1,0.97197,42.5,0
-14,1,0.83525,5.3125,1
-14,1,0.64519,5.3125,1
14,3,0.75257,21.25,0.5
14,1,0.8429,10.625,0.5
-14,1,0.71721,42.5,1
-14,3,0.61449,5.3125,0
14,1,0.95278,42.5,0
-14,3,0.73991,21.25,1
-14,3,0.8222,42.5,0
14,1,0.75918,42.5,0
-14,3,0.70458,42.5,0
14,3,0.63229,5.3125,1
14,1,0.61474,42.5,0
14,3,1.4164,10.625,1
14,3,1.1459,5.3125,1
-14,1,0.84641,10.625,1
14,1,0.81561,21.25,1
14,1,0.65803,42.5,0
-14,3,0.90349,42.5,0
-14,1,1.1299,10.625,1
14,3,0.95047,10.625,0.5
-14,1,0.77165,10.625,0
-14,1,0.82151,21.25,1
14,3,0.66003,42.5,0.5
14,3,0.85695,5.3125,1
14,1,0.82752,5.3125,1
-14,1,0.90051,10.625,0
-14,1,0.8101,10.625,0
14,1,0.81249,10.625,0.5
14,3,0.74685,10.625,1
14,1,1.0793,5.3125,0.5
14,3,0.84477,42.5,0.5
-14,1,0.7235,10.625,0.5
14,3,0.81253,42.5,1
-14,1,0.78399,5.3125,0.5
-14,3,0.90508,21.25,0
14,3,0.70024,21.25,1
14,3,0.58266,10.625,0.5
-14,1,0.85961,42.5,0.5
14,1,0.64506,21.25,0
-14,1,0.75709,21.25,1
14,3,0.71937,42.5,1
-14,1,0.69787,42.5,0.5
14,3,0.58217,42.5,1
-14,1,0.72014,42.5,1
14,1,0.77719,21.25,0
-14,3,0.68047,42.5,0
-14,1,0.67054,42.5,1
14,3,0.79263,10.625,1
-14,1,0.64146,5.3125,0.5
14,3,0.73405,21.25,0.5
14,3,0.62639,42.5,0.5
-14,1,0.69877,5.3125,1
14,3,0.9062,42.5,1
14,1,0.82847,21.25,0.5
14,1,0.8512,5.3125,0.5
14,1,0.87222,5.3125,0.5
-14,1,0.56206,10.625,0.5
14,3,0.71626,5.3125,1
14,3,0.95586,10.625,0.5
14,1,0.66344,42.5,0
-14,3,1.0615,21.25,0
14,1,0.66357,10.625,0
-14,1,0.6139,21.25,0.5
-14,1,0.72693,5.3125,0
-14,1,0.56573,42.5,1
-14,1,0.77578,5.3125,0
-14,1,0.63312,21.25,0.5
-14,1,0.72282,21.25,0.5
