NumTrials=720, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-11,1,0.6189,42.5,0.5
-11,3,0.73464,21.25,0
-11,1,0.64295,42.5,0
-11,1,0.51218,42.5,1
11,1,0.6233,42.5,0
11,3,0.50499,21.25,1
-11,1,0.52599,42.5,1
11,3,0.5669,10.625,0.5
-11,1,0.53199,21.25,0.5
-11,1,0.52306,10.625,1
11,3,0.50611,21.25,0.5
-11,3,0.53022,21.25,0.5
11,3,0.56063,5.3125,1
11,1,0.75757,10.625,0
11,1,1.1375,21.25,0.5
-11,1,0.50772,21.25,1
11,3,0.61592,10.625,0
11,3,0.58415,42.5,0.5
11,3,0.5992,42.5,1
-11,1,0.51503,5.3125,0.5
-11,1,0.63448,10.625,0.5
-11,1,0.5059,21.25,1
11,3,0.51251,42.5,0.5
-11,3,1.2501,10.625,0
-11,1,0.50614,21.25,1
-11,3,0.50795,10.625,0
11,3,0.57258,5.3125,0
-11,3,0.51259,42.5,0
11,1,0.51145,42.5,0
-11,1,0.50703,5.3125,0.5
-11,1,0.50839,5.3125,0.5
11,3,0.55772,10.625,1
-11,3,0.55148,42.5,0
11,1,0.50705,5.3125,0
-11,1,0.50835,5.3125,0
-11,1,0.5084,5.3125,1
-11,3,0.50627,21.25,0.5
11,3,0.54635,42.5,0
11,3,0.50745,42.5,0.5
11,3,0.61878,42.5,1
11,1,0.55704,10.625,0
-11,1,0.91445,21.25,1
-11,3,0.63912,42.5,0
-11,1,1.547,10.625,1
11,1,0.54719,5.3125,0
11,3,0.53641,10.625,0
11,3,0.51216,42.5,0
-11,1,0.55722,42.5,0.5
11,3,0.53765,10.625,0
-11,1,0.52178,10.625,0.5
-11,1,0.51024,21.25,0.5
-11,1,0.51128,21.25,1
-11,3,0.94247,5.3125,0.5
11,3,0.52135,42.5,0.5
11,3,0.69072,42.5,1
-11,1,0.51484,5.3125,0.5
11,3,0.50624,21.25,0.5
-11,1,0.54589,5.3125,0
11,3,0.58015,42.5,1
11,3,0.52156,21.25,1
-11,1,0.51872,42.5,0.5
11,1,0.60094,5.3125,0.5
-11,1,1.4118,21.25,0
-11,3,0.51192,42.5,0.5
11,3,0.77484,5.3125,0.5
11,3,0.54094,5.3125,1
11,3,0.50626,21.25,1
-11,1,0.53276,42.5,0
11,3,0.58057,21.25,1
-11,1,0.59944,42.5,0
11,3,0.5165,21.25,1
11,1,0.52996,42.5,0
-11,3,0.57976,42.5,1
-11,3,0.65438,21.25,0.5
11,3,0.57733,10.625,1
11,3,0.50817,10.625,0.5
-11,1,0.54239,5.3125,1
-11,3,0.8687,5.3125,0
-11,3,0.51685,10.625,0
-11,1,0.53259,5.3125,1
-11,1,0.5074,10.625,1
-11,1,0.56619,42.5,1
-11,3,0.50608,10.625,0.5
-11,1,0.50619,21.25,1
-11,1,0.51188,42.5,1
11,3,0.50805,5.3125,1
-11,3,0.50623,21.25,0.5
-11,3,0.51177,42.5,0
11,3,0.51405,5.3125,1
-11,3,0.51228,42.5,0
11,3,0.5052,21.25,1
11,3,0.50676,10.625,1
-11,1,0.55563,42.5,0.5
-11,3,0.50488,21.25,0.5
-11,3,0.53236,5.3125,0
11,3,0.51539,5.3125,0
-11,3,0.54549,10.625,0.5
-11,1,0.52788,10.625,1
11,3,0.51447,42.5,0.5
-11,1,0.50505,21.25,1
-11,1,0.50775,21.25,1
11,3,0.50684,10.625,0.5
-11,3,0.50812,10.625,0.5
11,3,0.59907,42.5,0.5
11,3,0.50486,21.25,0
-11,1,0.51192,42.5,1
-11,1,0.50607,10.625,0.5
11,3,0.55697,10.625,1
11,3,0.53844,10.625,0.5
11,3,0.92392,42.5,1
-11,1,0.55661,10.625,0.5
-11,1,0.91598,10.625,0
-11,1,0.51215,42.5,1
11,1,0.63216,10.625,1
11,3,0.51219,42.5,0.5
11,3,0.5615,10.625,0
11,3,0.54472,10.625,0.5
11,1,0.90255,5.3125,0
-11,1,0.52453,21.25,0.5
-11,1,0.65666,42.5,0.5
-11,1,0.50702,5.3125,1
11,3,0.51384,42.5,1
-11,3,0.5061,10.625,0
11,3,0.53206,5.3125,0
11,3,0.53884,5.3125,0.5
11,3,0.63293,5.3125,0
-11,1,0.51238,42.5,1
11,1,0.63934,21.25,0
11,1,0.79185,42.5,0
-11,1,0.52685,42.5,1
-11,3,0.81355,42.5,0
-11,1,0.50609,10.625,1
11,3,0.61523,21.25,0
-11,3,0.50774,21.25,0
-11,1,0.50773,21.25,0
-11,1,0.5067,10.625,1
-11,1,0.53851,10.625,0
-11,1,0.50816,10.625,0
-11,3,0.50794,5.3125,0
-11,1,0.50738,10.625,0.5
-11,1,0.50809,10.625,1
-11,3,0.51198,42.5,0
11,3,0.50694,42.5,1
-11,1,0.5051,21.25,0.5
11,3,0.50765,5.3125,1
11,1,0.50737,10.625,0
-11,1,0.54673,5.3125,0.5
-11,3,0.50737,10.625,0
11,3,0.50592,21.25,1
-11,1,0.52711,21.25,0
-11,1,0.80576,5.3125,0.5
-11,1,0.55382,5.3125,1
-11,3,0.54722,42.5,0
11,3,0.6349,10.625,0.5
-11,1,0.50809,10.625,1
-11,1,0.5886,21.25,0
-11,3,0.59804,42.5,0
11,1,0.61215,10.625,0.5
11,3,0.76926,5.3125,0.5
-11,1,0.57472,5.3125,0
11,3,0.59442,10.625,1
11,3,0.69057,42.5,0.5
11,1,0.54206,5.3125,0
-11,1,0.54728,21.25,0
11,3,0.61052,5.3125,1
11,3,0.77348,10.625,0.5
11,1,0.51208,42.5,0.5
11,1,0.52812,10.625,0
