NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-14,1,0.91709,5.3125,1
-14,3,0.98753,5.3125,0.5
-14,1,0.74569,21.25,0
14,3,0.81041,42.5,0
14,1,0.77147,21.25,0
14,3,0.85294,5.3125,0.5
-14,1,0.80636,21.25,0.5
-14,3,0.86819,42.5,0.5
14,1,0.80416,10.625,0.5
-14,3,0.81806,10.625,0.5
-14,1,0.94466,10.625,1
-14,3,0.85302,5.3125,0.5
14,3,1.2956,10.625,0
-14,1,0.95656,5.3125,0
-14,3,1.0851,10.625,0.5
-14,1,0.78192,5.3125,1
-14,1,0.86482,5.3125,1
-14,1,0.78245,10.625,1
-14,1,1.3065,42.5,0
-14,3,0.94402,5.3125,0
-14,1,1.0141,10.625,0.5
-14,1,0.86645,21.25,0.5
14,1,0.80433,5.3125,0.5
14,3,1.1203,5.3125,0
14,3,0.77114,10.625,1
14,1,0.74681,42.5,0
14,3,0.92974,42.5,0
-14,1,0.59292,10.625,1
-14,1,0.64685,21.25,1
-14,3,0.78143,21.25,0.5
14,3,0.74334,21.25,0.5
14,1,0.84359,5.3125,0
-14,1,0.78473,21.25,0.5
14,3,0.78056,5.3125,1
-14,1,0.71276,42.5,0
14,3,0.7307,42.5,1
14,3,0.92957,10.625,1
-14,1,0.95837,10.625,0
-14,3,1.3829,5.3125,0
-14,3,1.0906,42.5,0
14,3,0.81675,21.25,0.5
-14,1,1.083,5.3125,1
14,3,1.2207,5.3125,0
14,1,0.75581,42.5,0
14,3,0.97656,10.625,0
-14,1,1.2781,10.625,0
-14,1,1.0665,42.5,1
-14,1,0.8901,10.625,1
14,3,0.73786,10.625,0.5
-14,1,0.7221,5.3125,1
-14,3,0.94021,21.25,0
14,1,0.78814,21.25,0
14,3,0.83348,5.3125,0.5
-14,3,0.88638,42.5,0
-14,1,1.8269,5.3125,0.5
14,3,0.82104,21.25,1
-14,3,0.65776,5.3125,0.5
-14,1,0.62335,42.5,1
-14,1,0.77463,5.3125,1
-14,3,1.1137,10.625,0.5
14,3,0.9083,42.5,0.5
14,1,0.98549,5.3125,0
-14,1,1.0665,21.25,0.5
14,3,0.77999,5.3125,1
14,3,0.7684,42.5,0.5
14,1,0.84913,10.625,0.5
-14,3,0.83936,5.3125,0
14,1,0.81983,21.25,0.5
-14,3,0.74924,21.25,0
14,3,0.90731,42.5,0
-14,1,0.92781,10.625,1
-14,1,0.62119,42.5,1
-14,1,1.0453,42.5,0
-14,3,1.2071,10.625,0
-14,3,0.75675,10.625,0.5
-14,1,0.93419,10.625,0.5
-14,1,0.99917,10.625,0.5
-14,1,0.82979,42.5,0.5
14,1,1.007,21.25,0
-14,3,0.67474,42.5,0
-14,1,0.93336,21.25,0
14,1,1.1073,21.25,0.5
-14,1,0.89794,10.625,1
-14,3,1.4365,21.25,0
-14,1,25.3566,10.625,1
-14,3,0.9051,42.5,1
-14,1,0.87845,5.3125,0
14,3,0.8052,5.3125,1
14,1,0.74158,10.625,0
-14,1,0.79269,21.25,1
-14,1,0.75455,42.5,1
14,1,0.72672,21.25,1
-14,1,0.8122,21.25,0.5
14,1,0.81056,21.25,0
-14,3,0.70954,42.5,0.5
14,1,3.3449,21.25,0.5
14,3,1.1392,42.5,0.5
-14,1,1.1151,21.25,1
14,3,0.65332,42.5,1
-14,1,0.89711,10.625,0
-14,1,0.82398,5.3125,0
14,3,0.87405,10.625,1
14,3,0.76726,10.625,1
-14,1,0.7375,21.25,0
-14,1,0.78246,42.5,0.5
14,3,0.74298,21.25,1
14,3,0.87265,21.25,1
-14,1,0.82036,21.25,0.5
-14,3,1.2823,5.3125,1
-14,1,2.7698,10.625,0
-14,3,1.0251,10.625,0
14,3,0.77903,5.3125,0.5
-14,3,0.83801,5.3125,0.5
14,3,0.6673,10.625,1
14,3,0.8594,5.3125,1
14,1,0.81258,42.5,0
14,3,0.6878,5.3125,0.5
-14,3,0.64884,10.625,0
14,3,1.226,21.25,0
14,1,1.1351,5.3125,0
14,3,0.71186,10.625,1
14,3,0.77419,21.25,1
-14,1,0.74771,42.5,0
-14,1,1.0656,10.625,1
14,3,0.69188,5.3125,1
-14,1,0.76546,42.5,1
-14,3,0.7172,21.25,1
14,1,0.75903,42.5,1
14,3,0.85076,42.5,0
14,3,1.0684,10.625,0
-14,1,1.3236,10.625,1
14,3,0.80094,42.5,1
-14,1,0.78423,5.3125,0.5
-14,1,1.1052,21.25,0
-14,3,0.84525,42.5,0
14,3,1.0776,5.3125,1
-14,3,0.98092,42.5,1
-14,3,0.79399,10.625,0.5
14,3,0.78855,42.5,0.5
-14,1,0.65546,5.3125,0
-14,3,0.68634,42.5,1
14,3,0.80803,21.25,1
14,1,0.73751,10.625,0.5
-14,1,0.78082,10.625,0
-14,1,0.74271,10.625,0
-14,1,0.65627,21.25,0.5
14,3,0.60179,5.3125,0
14,3,0.93835,21.25,0.5
-14,1,0.98449,10.625,0.5
-14,3,0.75728,42.5,0
14,3,0.75172,5.3125,0.5
