NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,1,0.53997,10.625,0.5
1,3,0.72397,5.3125,1
-1,1,0.50799,21.25,1
1,1,0.63339,21.25,0
1,1,1.2442,21.25,0.5
1,3,0.93036,5.3125,0
1,1,0.70904,5.3125,0.5
1,3,0.66585,21.25,0
-1,1,0.51502,42.5,1
-1,1,0.54358,42.5,0.5
-1,3,0.68109,21.25,0
-1,3,0.7243,10.625,0
1,3,0.70728,10.625,0.5
-1,1,0.83199,21.25,0.5
1,3,0.59472,42.5,0
1,3,0.73122,42.5,0
-1,3,0.72073,21.25,0
1,1,0.55492,42.5,0
-1,1,0.52128,42.5,1
1,3,0.63103,42.5,0
-1,1,0.50872,5.3125,1
1,3,0.77244,5.3125,1
-1,1,0.55401,5.3125,1
-1,1,0.63186,21.25,0.5
-1,3,0.53338,21.25,0
-1,1,0.56629,21.25,0.5
-1,3,0.78841,42.5,0.5
1,3,0.60705,10.625,0.5
1,3,0.64412,5.3125,1
1,1,0.85845,10.625,0
-1,1,0.57193,10.625,1
1,3,0.54484,5.3125,1
1,1,0.93509,5.3125,0.5
1,3,0.67239,42.5,0.5
1,3,0.68158,42.5,0.5
1,3,0.60014,10.625,1
1,3,0.61437,10.625,0
-1,1,0.51049,5.3125,1
1,3,0.51175,5.3125,0.5
-1,1,0.50797,21.25,1
1,3,0.51519,42.5,1
-1,1,0.54969,21.25,1
1,3,0.57889,5.3125,0
1,3,0.59478,21.25,0.5
1,1,1.0108,5.3125,0
1,3,0.60316,5.3125,0
1,3,0.70956,5.3125,0.5
1,3,0.57828,21.25,1
1,3,0.71717,10.625,0
1,3,0.8682,10.625,0.5
-1,1,0.53175,10.625,1
14,1,2.1007,21.25,0
-14,1,1.7568,42.5,0
-14,1,0.5496,21.25,0.5
-14,1,0.51078,21.25,1
14,3,0.51,5.3125,1
-14,3,0.50802,21.25,0.5
-14,1,0.51082,21.25,1
-14,1,0.51079,21.25,0.5
-14,1,0.61977,10.625,0
14,1,0.61701,21.25,0.5
14,3,0.60985,5.3125,0.5
14,1,0.57625,10.625,0
14,3,0.58816,42.5,1
14,1,0.66891,21.25,0
14,1,0.78107,21.25,0.5
-14,1,0.63137,42.5,0.5
14,3,0.53081,10.625,1
14,3,0.67858,5.3125,1
14,1,0.59618,42.5,0
14,1,0.66449,21.25,0.5
-14,1,0.51515,42.5,1
-14,1,0.50614,21.25,1
14,1,0.51082,21.25,0
-14,3,0.61818,21.25,0
-14,1,0.50898,10.625,0.5
-14,1,0.54566,10.625,0.5
-14,1,0.51138,10.625,0.5
14,3,0.67137,10.625,1
-14,1,0.51053,5.3125,1
14,3,0.51175,5.3125,0.5
14,3,0.54459,21.25,1
14,1,0.57476,10.625,0.5
-14,1,0.51137,10.625,0.5
-14,1,0.74812,42.5,0
-14,1,0.50885,5.3125,1
14,1,0.69194,10.625,0
14,1,0.51145,10.625,0
14,3,0.59416,21.25,0
14,1,0.5088,10.625,0
-14,1,2.4443,10.625,1
14,1,0.57172,42.5,0
-14,1,0.5088,5.3125,0.5
-14,1,0.50977,10.625,0
-14,1,0.51547,42.5,1
-14,1,2.1362,5.3125,1
-14,1,0.53219,5.3125,0
-14,1,0.50988,10.625,1
14,1,1.9135,21.25,1
14,1,0.71524,10.625,0.5
-14,1,0.51134,10.625,0
-14,1,0.61895,21.25,0.5
14,1,0.50893,10.625,0.5
-14,1,2.2375,10.625,0.5
14,1,0.51139,10.625,0.5
14,1,0.51136,10.625,0
14,1,0.51129,10.625,0.5
-14,1,0.50763,21.25,0.5
-14,1,0.50998,5.3125,1
-14,1,2.2798,42.5,1
-14,1,0.5411,42.5,0.5
14,3,0.77626,10.625,1
14,3,0.51863,42.5,1
14,3,0.5077,10.625,1
-14,1,0.57112,10.625,1
-14,1,0.67271,10.625,0
-14,1,0.73971,5.3125,0
14,1,0.508,21.25,0
-14,1,0.5151,42.5,1
-14,1,0.50615,21.25,1
14,3,0.61902,42.5,0.5
14,3,0.52398,42.5,1
14,3,0.50629,21.25,1
-14,1,0.62461,10.625,1
14,1,0.5156,42.5,0
-14,1,0.82385,5.3125,0
14,3,0.51171,5.3125,1
14,1,0.68414,10.625,0
14,3,0.50774,21.25,1
14,1,0.56637,42.5,0
-14,3,0.58264,21.25,0
14,1,0.78169,42.5,0
14,1,1.0643,10.625,0
-14,3,0.57184,42.5,0
14,1,0.79466,5.3125,0
-14,3,0.76787,21.25,0
-14,1,0.51528,42.5,1
14,3,0.58782,42.5,1
14,3,0.58583,42.5,1
-14,1,0.51412,10.625,1
14,3,0.77873,42.5,0.5
-14,3,0.63432,42.5,0
-14,1,0.52129,42.5,1
14,3,0.58143,5.3125,1
14,3,0.71463,42.5,0.5
14,3,0.63457,10.625,1
14,3,0.52603,42.5,0.5
14,3,0.52128,42.5,0.5
14,3,0.57726,42.5,1
-14,3,0.91353,10.625,0
-14,3,0.62572,21.25,0.5
-14,3,0.56045,42.5,0
-14,3,0.58472,21.25,0
-14,3,0.76268,5.3125,0.5
14,3,0.68582,5.3125,0.5
-14,3,0.92205,21.25,0
14,1,0.77822,42.5,0
-14,1,0.51916,21.25,1
-14,1,0.5108,21.25,1
14,3,0.51251,21.25,1
-14,3,0.62498,21.25,0
-14,3,1.1318,21.25,0.5
14,1,0.79727,42.5,0
14,1,0.66166,42.5,0
-14,1,0.53332,42.5,1
-14,3,0.58054,10.625,0
14,1,0.72998,10.625,0
-14,1,1.1301,5.3125,0
14,3,0.5117,5.3125,1
-14,1,0.85684,21.25,0
-14,3,0.61179,42.5,0.5
14,3,0.61581,5.3125,0.5
14,1,0.82159,21.25,0.5
14,1,0.51571,42.5,0
-14,3,0.56323,21.25,0.5
-14,1,0.58226,42.5,0.5
14,1,0.62308,21.25,0.5
-14,1,0.50894,10.625,1
14,3,0.62763,21.25,1
-14,1,0.59188,10.625,0
14,1,0.53275,21.25,0
14,3,0.5295,42.5,0.5
-14,1,0.50611,21.25,1
14,3,0.51082,21.25,1
14,1,0.68996,5.3125,0
-14,1,0.50981,10.625,1
14,3,0.53961,10.625,1
-14,1,0.5155,42.5,0.5
-14,3,0.52129,42.5,0.5
-14,1,0.57211,42.5,0
-14,1,0.98494,5.3125,0.5
-14,1,0.98977,5.3125,0
14,3,0.50795,21.25,1
-14,1,0.87605,42.5,0
14,1,0.68684,21.25,0.5
14,3,0.51011,5.3125,1
-14,1,0.50793,21.25,0.5
-14,3,0.57952,5.3125,0
-14,1,0.50793,21.25,1
14,3,0.5151,42.5,0.5
-14,1,0.52131,42.5,1
-14,3,0.55885,42.5,0.5
14,3,0.53605,42.5,1
-14,1,0.5432,10.625,0
-14,3,0.54413,10.625,0.5
14,1,0.50768,21.25,0
-14,1,0.58172,42.5,0.5
-14,1,0.50615,21.25,1
14,3,0.53098,5.3125,0.5
-14,1,0.50803,21.25,0
14,1,0.66968,42.5,0
-14,1,0.5088,5.3125,1
-14,1,0.61021,5.3125,0.5
-14,3,0.6446,5.3125,0
14,3,0.66013,42.5,0.5
-14,1,0.50887,5.3125,0
14,3,0.5322,42.5,0.5
14,1,0.50879,5.3125,0
14,3,0.5574,42.5,1
14,3,0.52668,10.625,1
14,3,0.58635,5.3125,1
-14,1,0.51175,5.3125,1
14,1,0.73999,10.625,0
14,3,0.89104,42.5,0.5
-14,1,0.52153,21.25,0.5
14,3,0.67319,10.625,1
14,3,0.76787,42.5,0.5
-14,1,0.60263,5.3125,0.5
-14,1,0.65197,21.25,1
14,3,0.51521,42.5,0.5
-14,1,0.52356,10.625,0.5
14,1,0.54004,10.625,0.5
-14,1,1.8252,21.25,1
14,3,0.64527,10.625,1
14,1,0.87501,10.625,0.5
14,1,0.51503,21.25,0.5
14,1,0.50997,5.3125,0.5
14,1,0.5079,21.25,0
-14,1,0.50912,10.625,0
14,1,0.51137,10.625,0.5
-14,1,0.51561,42.5,1
-14,1,0.68751,5.3125,0.5
14,1,0.59494,42.5,0
-14,3,0.69488,21.25,0
-14,1,0.55009,10.625,0.5
-14,1,0.5114,10.625,1
14,3,0.51817,10.625,0.5
14,3,0.54734,42.5,1
14,3,0.50879,5.3125,1
-14,1,0.55709,5.3125,0.5
-14,3,0.71845,5.3125,0
14,1,0.51508,5.3125,0
14,1,0.50981,10.625,0
14,1,0.51136,10.625,0.5
14,3,0.51056,5.3125,1
14,1,0.7574,42.5,0.5
14,1,0.77559,5.3125,0
-14,1,0.70852,5.3125,0
14,1,0.56296,10.625,0
-14,1,1.7899,10.625,1
14,3,0.64401,10.625,1
-14,1,0.83551,42.5,0
-14,1,0.52125,42.5,1
-14,1,0.50887,5.3125,0.5
-14,1,0.5117,5.3125,1
14,1,0.80019,5.3125,0.5
-14,1,0.50801,21.25,1
14,3,0.6138,21.25,1
-14,1,0.57172,5.3125,0.5
14,1,0.53154,42.5,0
14,3,0.52619,21.25,1
14,3,0.5108,21.25,1
14,1,0.66662,10.625,0.5
-14,1,0.51133,10.625,0.5
-14,1,0.50766,21.25,0.5
-14,3,0.56394,5.3125,0.5
-14,3,0.58787,42.5,0
14,1,0.7663,5.3125,0
-14,1,0.51171,5.3125,1
14,3,0.50985,10.625,0.5
-14,1,0.65201,21.25,0
-14,1,0.51509,42.5,1
-14,3,0.50877,5.3125,0
-14,1,0.71299,42.5,0
14,3,0.61006,5.3125,1
-14,1,0.51602,42.5,1
14,3,0.50756,10.625,1
-14,1,0.51052,5.3125,1
-14,3,0.69734,5.3125,0.5
-14,1,0.55376,21.25,0
14,1,0.51078,21.25,0
14,1,0.52648,21.25,0
14,3,2.1079,42.5,1
14,1,0.6885,10.625,0
14,3,0.54814,10.625,1
14,1,0.56566,21.25,0
14,3,0.61439,21.25,0.5
-14,3,0.66959,42.5,0
14,3,0.61482,5.3125,1
-14,1,0.51611,42.5,1
14,3,0.50601,21.25,1
-14,1,0.51016,5.3125,1
14,3,0.516,42.5,1
-14,3,0.50863,5.3125,1
-14,1,0.51175,5.3125,1
14,3,0.51173,21.25,0
-14,1,1.0509,21.25,0
14,1,0.6295,5.3125,0
-14,1,0.51176,5.3125,0.5
14,1,0.64676,21.25,0.5
14,1,0.60402,5.3125,0
14,3,0.51599,42.5,1
-14,1,0.50875,5.3125,1
14,3,0.50982,10.625,1
14,3,0.59654,5.3125,1
14,3,0.79393,10.625,0.5
-14,3,0.51553,42.5,0
14,1,0.61965,5.3125,0
14,1,0.67717,5.3125,0.5
14,1,0.67292,5.3125,0
14,1,0.61876,10.625,0
-14,1,0.51137,10.625,0.5
-14,3,0.77194,42.5,0.5
14,3,0.64795,21.25,0.5
-14,1,0.63108,5.3125,0.5
-14,1,0.70759,5.3125,0.5
14,3,0.54803,5.3125,1
14,3,0.7853,5.3125,0.5
-14,1,0.51604,42.5,1
-14,1,0.50749,10.625,0.5
14,3,0.52058,42.5,0
14,3,0.54503,10.625,1
14,3,0.51135,10.625,1
14,3,0.54727,42.5,1
14,1,0.67309,5.3125,0.5
14,1,0.5739,10.625,0
14,3,0.53326,42.5,0.5
14,1,0.73974,5.3125,0.5
14,1,0.56356,5.3125,0
14,1,0.57902,10.625,0.5
-14,3,0.7027,42.5,0
-14,1,0.94739,10.625,0
-14,1,0.54007,10.625,1
-14,1,0.51129,10.625,0.5
-14,3,0.51559,42.5,0
14,1,0.50603,21.25,0
-14,1,0.51213,10.625,0.5
14,3,0.54331,21.25,1
14,3,0.5108,21.25,1
14,1,0.59945,5.3125,0.5
-14,1,0.5757,21.25,0
14,1,0.51081,21.25,0.5
-14,1,0.51073,21.25,0
14,3,0.56438,5.3125,1
14,1,0.90023,42.5,0
-14,3,0.52126,42.5,0.5
-14,1,0.5061,21.25,1
-14,1,0.51003,5.3125,0
14,3,0.51617,42.5,1
-14,1,0.54638,10.625,1
14,3,0.50766,21.25,1
-14,1,0.73184,42.5,0.5
-14,3,0.53893,42.5,0
-14,1,0.52385,42.5,0.5
-14,1,0.74374,5.3125,0
-14,1,0.51629,21.25,0.5
-14,1,0.64272,5.3125,0.5
-14,1,0.50979,10.625,1
-14,3,0.51048,5.3125,0
-14,1,1.4887,21.25,1
14,1,0.5476,21.25,0.5
14,1,0.51082,21.25,0
14,1,0.76044,5.3125,0
-14,1,0.50797,21.25,0.5
14,3,0.51564,42.5,1
-14,1,0.58887,10.625,0
-14,1,0.55035,10.625,0
14,1,0.69086,5.3125,0.5
14,1,0.51399,10.625,0
14,1,0.73192,10.625,0.5
-14,1,0.51056,5.3125,1
-14,3,0.78984,5.3125,0
14,1,1.2358,5.3125,0
-14,1,0.68905,10.625,0
-14,1,0.51128,10.625,1
14,1,0.95131,21.25,0
-14,1,0.61003,10.625,0
14,3,0.59429,5.3125,0.5
-14,1,0.50805,21.25,1
-14,1,0.51497,42.5,1
-14,1,0.50774,10.625,0.5
14,3,0.71512,21.25,0.5
14,1,0.5155,42.5,0.5
