NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,3,0.79603,42.5,1
1,3,1.2585,10.625,0
-1,3,0.79683,5.3125,0
1,3,0.97221,5.3125,1
1,3,0.91186,10.625,0.5
-1,3,0.71389,10.625,0
-1,1,0.85034,10.625,1
-1,3,1.5656,10.625,0
-1,1,0.7623,5.3125,1
-1,3,0.91334,21.25,0
1,3,0.86856,21.25,0
1,1,0.72406,21.25,0.5
1,1,2.0407,21.25,0.5
-1,1,1.3123,42.5,1
1,3,1.3072,42.5,1
-1,3,2.0035,42.5,0
-1,1,0.81384,42.5,1
-1,1,0.89683,21.25,0.5
-1,1,1.8493,5.3125,0
1,3,0.79079,42.5,0
-1,1,1.7986,21.25,1
-1,1,2.1822,42.5,0.5
1,1,1.9224,42.5,0.5
1,3,0.85976,21.25,0
1,3,2.2221,10.625,0.5
-1,1,1.6636,21.25,0
1,3,1.9126,10.625,0
1,3,1.4585,5.3125,0.5
-1,1,0.67145,21.25,1
1,3,1.086,21.25,1
1,3,0.78266,42.5,1
-1,1,0.7788,42.5,0.5
1,3,0.77721,21.25,0.5
-1,3,1.3284,42.5,0
-1,1,0.74271,5.3125,1
1,3,0.85106,21.25,1
-1,1,0.70568,42.5,0.5
1,3,1.0691,21.25,0.5
-1,1,0.85252,5.3125,0
1,3,0.92594,21.25,1
-1,1,0.97299,5.3125,0
-1,1,1.0963,21.25,0
1,3,0.62325,21.25,0
-1,1,0.7771,5.3125,1
-1,3,1.0251,21.25,0
1,3,0.9667,21.25,1
1,1,0.75455,10.625,0
-1,1,1.3827,42.5,0.5
1,1,1.1705,42.5,0
-1,3,1.5274,5.3125,0
1,3,1.4315,21.25,1
-1,1,1.2683,5.3125,1
1,3,0.69167,10.625,1
-1,1,0.75375,21.25,0
-1,1,0.57416,21.25,1
-1,1,0.86845,42.5,0
-1,1,1.1324,10.625,0
-1,1,0.9412,21.25,1
1,1,0.86889,5.3125,0
-1,1,0.7924,10.625,0.5
1,3,0.80786,10.625,1
1,1,0.65075,42.5,0.5
-1,1,0.97115,5.3125,0
1,3,0.76352,5.3125,1
-1,3,1.5453,21.25,0
1,1,0.97545,10.625,0
-1,1,3.5867,5.3125,1
-1,1,1.658,21.25,0.5
-1,1,1.3786,10.625,0.5
1,3,1.27,5.3125,0
1,3,0.83667,10.625,0.5
1,3,1.3254,10.625,1
1,3,0.74644,42.5,1
1,1,0.81449,21.25,0
-1,1,0.83342,21.25,0
-1,1,1.4602,21.25,0.5
1,3,2.2198,21.25,0.5
1,3,1.7863,21.25,1
1,1,0.61297,42.5,0
1,3,0.75842,21.25,0
-1,1,0.94093,42.5,0
-1,1,0.64465,21.25,0.5
1,3,1.5146,10.625,0.5
1,3,0.73362,10.625,1
1,1,0.75098,42.5,0
-1,1,1.3173,5.3125,1
1,3,0.6616,42.5,1
1,3,0.84842,10.625,1
-1,1,0.81167,21.25,0
-1,1,1.1247,5.3125,0.5
-1,1,1.4811,10.625,0
1,3,0.80194,5.3125,1
1,1,1.1377,21.25,0
-1,1,0.77687,5.3125,1
-1,1,1.0106,10.625,0
-1,1,1.4098,5.3125,0
1,3,0.65142,10.625,0
1,3,0.95937,5.3125,1
-1,1,0.80804,10.625,0
-1,1,1.4352,5.3125,1
1,3,0.78543,10.625,1
1,1,1.6452,42.5,0.5
1,1,1.2616,5.3125,0.5
1,3,0.8806,42.5,1
1,3,5.6679,10.625,1
-1,1,0.67157,21.25,1
1,3,0.9031,42.5,0.5
-1,1,1.5561,10.625,0.5
-1,1,1.2799,5.3125,0.5
-1,1,2.1773,21.25,0.5
1,3,0.75856,42.5,0
1,3,1.3298,5.3125,0.5
-1,1,0.60163,21.25,1
14,1,0.86142,42.5,0
14,1,0.63986,21.25,0
-14,1,0.51512,42.5,1
-14,1,0.8063,5.3125,0.5
-14,1,0.63977,21.25,0
14,3,0.79173,10.625,1
14,3,1.2482,10.625,0.5
14,1,0.6319,21.25,0
14,1,1.1734,5.3125,1
14,3,0.70629,10.625,0.5
-14,1,0.6436,5.3125,0.5
14,3,0.79215,21.25,1
-14,1,0.78309,10.625,0
-14,1,1.1626,5.3125,0.5
14,3,1.1418,42.5,1
-14,1,0.84008,42.5,1
14,3,1.2462,5.3125,1
-14,1,0.9493,42.5,1
14,3,1.4358,42.5,1
-14,1,1.9915,21.25,1
14,3,0.96216,21.25,1
14,3,2.0356,21.25,1
-14,1,0.85861,21.25,0.5
14,3,2.4525,10.625,1
-14,3,2.2016,10.625,0
-14,1,1.0521,10.625,0.5
-14,1,0.86392,42.5,0
14,3,0.80928,42.5,0.5
14,3,1.1042,21.25,0
14,3,0.79796,42.5,1
14,3,0.99855,42.5,1
-14,3,1.501,21.25,0
-14,1,1.0826,21.25,0
-14,1,1.2664,21.25,0
14,3,1.9219,21.25,1
14,1,1.1968,10.625,0
14,1,0.78197,42.5,0
14,3,1.0656,42.5,0.5
-14,1,0.77156,10.625,0.5
-14,3,1.0292,42.5,0
-14,1,0.8733,5.3125,1
14,3,0.90013,21.25,0
-14,3,0.82726,21.25,0
-14,1,0.86027,10.625,1
14,3,3.1172,5.3125,1
-14,1,1.9833,21.25,0
-14,1,0.71676,42.5,1
-14,1,16.3317,21.25,0.5
14,1,10.6956,10.625,0
