NumTrials=1200, DotSize = 3, Nx = 308, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,1,0.52086,10.625,0
-1,1,0.51076,10.625,0.5
-1,1,0.62262,10.625,0
1,1,0.62459,5.3125,0.5
-1,1,0.58163,5.3125,0
-1,1,0.70881,10.625,0.25
-1,1,0.51074,10.625,0.5
1,3,0.57684,10.625,0.25
-1,1,0.50521,21.25,1
-1,1,0.54585,5.3125,0.5
-1,1,0.52319,42.5,0
-1,1,0.51441,21.25,0.25
1,1,0.53218,10.625,0.25
1,3,0.56537,42.5,1
1,3,0.50517,10.625,1
-1,1,0.57442,21.25,0.5
1,1,0.53336,21.25,0.5
1,3,0.51741,5.3125,0.75
1,3,0.51165,42.5,0.75
1,3,0.51956,42.5,1
-1,3,0.51956,42.5,0
1,1,0.52793,5.3125,0
-1,1,0.51128,5.3125,1
-1,1,0.50563,21.25,1
-1,1,0.52206,42.5,1
1,3,1.7077,5.3125,1
-1,1,0.52147,5.3125,0.75
-1,3,0.52879,21.25,0
1,3,0.5086,5.3125,0.5
1,3,0.52567,42.5,0.25
1,3,0.55034,42.5,1
-1,1,0.51958,42.5,1
-1,1,0.50512,10.625,1
-1,1,1.3635,21.25,1
1,3,0.55007,21.25,1
1,1,0.54586,42.5,0
-1,1,0.60092,10.625,0.25
-1,3,0.53966,21.25,0
1,3,0.54666,10.625,0.75
1,3,0.53886,5.3125,1
-1,1,0.51167,5.3125,0
1,3,0.54746,10.625,1
-1,3,0.53416,10.625,0.25
1,3,0.52365,5.3125,0.5
-1,1,0.51126,5.3125,1
-1,3,0.61909,5.3125,0
1,3,0.51128,5.3125,0.25
1,3,0.5316,10.625,1
1,3,1.3557,10.625,0.75
1,3,0.53453,10.625,1
1,1,0.53483,42.5,1
-1,3,0.6309,10.625,0
1,3,0.61071,5.3125,0
-1,1,0.54113,21.25,0.75
-1,1,0.53365,42.5,0.25
1,3,0.51691,10.625,0.25
1,1,0.51064,10.625,0.5
-1,1,0.54639,42.5,0.75
-1,1,0.53127,42.5,1
1,3,0.55309,10.625,0.25
-1,1,0.54634,42.5,0.75
1,1,0.54041,10.625,0.25
1,3,0.50489,21.25,0.25
1,1,0.53283,10.625,0.25
1,3,0.65759,10.625,0
-1,1,0.50955,5.3125,0
-1,1,0.55566,10.625,0
1,1,1.4787,5.3125,0.25
-1,1,0.67391,42.5,0.25
-1,1,0.51656,21.25,0.75
1,3,0.54172,10.625,0.25
-1,1,0.55638,42.5,0.5
1,1,0.61753,5.3125,0.75
-1,1,0.53477,5.3125,1
-1,1,0.50833,10.625,1
-1,3,0.52891,21.25,0
-1,1,0.50691,10.625,0.75
-1,1,0.6391,5.3125,0.75
-1,1,0.53316,42.5,0.75
1,3,0.58535,5.3125,1
1,3,0.52103,10.625,0
1,3,0.7286,10.625,0.75
1,3,0.86059,21.25,0.25
1,3,0.7597,5.3125,0
1,3,0.61723,10.625,1
-1,1,0.53417,10.625,0.75
-1,1,0.55593,10.625,0.25
1,1,0.5726,5.3125,0.75
-1,1,0.80671,21.25,0.25
-1,1,0.56169,21.25,1
-1,3,0.6407,42.5,0
1,3,0.6964,21.25,0.5
-1,3,0.86693,5.3125,0.25
-1,1,1.1213,42.5,0.25
1,3,0.72567,21.25,0.5
-1,1,0.52338,10.625,1
-1,1,0.51507,5.3125,0.5
1,3,0.5801,42.5,0.5
1,3,0.51398,21.25,0.5
1,3,0.57978,42.5,1
-1,1,0.5065,5.3125,0.5
-1,1,0.51321,10.625,0.25
1,3,0.63894,21.25,0.75
-1,1,0.50875,5.3125,0.5
-1,1,0.51129,5.3125,1
1,1,0.51138,5.3125,0
1,1,0.63622,10.625,0
-1,3,0.56259,42.5,0
1,3,0.63865,10.625,0.75
-1,1,0.73961,10.625,0
-1,3,0.52493,10.625,0
-1,1,0.53795,10.625,0.75
-1,1,0.54154,21.25,0.5
-1,1,0.52157,21.25,0.5
-1,1,0.50697,10.625,0.5
1,3,0.69834,42.5,0.75
1,3,0.92354,5.3125,0.5
1,3,0.67398,10.625,0
-1,3,0.5606,10.625,0.25
-1,1,0.58528,5.3125,0.25
1,3,0.5316,10.625,1
-1,1,0.50949,5.3125,0.75
1,3,0.61994,10.625,0.25
1,3,0.67941,21.25,0.75
1,3,0.51609,5.3125,1
-1,1,0.5399,21.25,0.5
-1,1,0.50649,10.625,0.5
-1,1,0.51337,10.625,1
-1,1,0.54787,42.5,0.5
1,1,0.71475,21.25,0.25
1,3,0.53336,21.25,0.5
1,3,0.55536,42.5,0
1,3,0.57012,10.625,0.25
1,1,0.52109,5.3125,0.25
-1,1,0.56459,10.625,0.25
1,3,0.51066,10.625,0.5
-1,1,0.52684,21.25,1
1,1,0.568,42.5,0.5
1,3,0.51851,5.3125,0.75
-1,1,0.53283,42.5,0.5
1,1,0.54259,10.625,0
-1,1,0.548,21.25,1
-1,1,0.5706,21.25,0.5
1,3,0.50978,21.25,0
1,3,0.53033,10.625,0.5
1,3,0.50954,5.3125,0.75
1,3,0.53668,42.5,0
-1,1,0.66009,10.625,0.25
1,3,0.53306,5.3125,1
-1,1,0.70963,21.25,0.5
1,3,0.54563,42.5,0.75
-1,1,0.51758,21.25,1
-1,1,0.56659,42.5,0
-1,1,0.5169,10.625,1
-1,1,0.53462,42.5,0.75
1,3,0.56175,10.625,0
-1,1,0.52244,10.625,1
-1,1,0.51684,21.25,1
1,3,0.53348,5.3125,1
1,3,0.55458,10.625,0.5
-1,1,0.54691,42.5,1
1,3,0.53052,10.625,0.5
1,3,0.50955,5.3125,0
-1,3,0.50823,10.625,0
-1,3,0.51684,21.25,0
-1,1,0.50697,10.625,0.75
1,3,0.55193,5.3125,0.5
-1,3,0.5472,42.5,0.25
1,3,0.50519,10.625,0
-1,3,0.54615,42.5,0
-1,3,0.5613,10.625,0
1,3,0.58114,10.625,0
1,3,0.5463,42.5,0.75
-1,1,0.507,5.3125,1
1,3,0.74071,21.25,0.5
-1,3,0.57177,10.625,0
1,3,0.64418,5.3125,0.75
1,3,0.82944,5.3125,0.25
-1,1,0.5358,42.5,1
-1,1,0.53134,42.5,1
1,3,0.67487,5.3125,0.75
-1,1,0.5113,5.3125,0.25
1,1,0.51125,5.3125,0
1,1,0.51132,5.3125,0.25
1,3,0.52946,21.25,1
1,3,0.56575,21.25,0
-1,1,0.57629,42.5,0.5
1,3,0.55122,5.3125,0.5
